entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2022-11-14 05:25:00,2022-11-14 06:25:00,short,1765.5800000000002,1759.93,55.5,8325.0,108325.0,60.0,5M_GC,72.35746115293952,18.803628461136025,7.167388643156575
2022-11-15 13:05:00,2022-11-15 13:45:00,short,1776.72,1776.06,5.6,840.0,109165.0,40.0,5M_GC,75.4322707059233,52.220236347030976,23.69818286816937
2022-11-28 04:45:00,2022-11-28 05:25:00,short,1750.0500000000002,1749.18,7.7,1155.0,110320.0,40.0,5M_GC,27.996778208284752,29.31034482730624,23.703703702652277
2022-11-29 17:05:00,2022-11-29 18:20:00,short,1753.39,1750.85,24.4,3660.0,113980.0,75.0,5M_GC,52.603305784906276,49.86180210019412,12.63251329483427
2022-11-29 21:20:00,2022-11-29 22:00:00,short,1751.48,1749.54,18.4,2760.0,116740.0,40.0,5M_GC,46.59779614305796,28.673835125191193,10.659726581605474
2022-11-29 23:35:00,2022-11-30 07:05:00,short,1749.2900000000002,1754.66,-54.7,-8205.0,108535.0,450.0,5M_GC,61.294624422007075,85.73818485874965,20.35087719187739
2022-11-30 18:20:00,2022-11-30 20:25:00,short,1752.0,1746.77,51.3,7695.0,116230.0,125.0,5M_GC,59.991964403856684,40.45043907936594,12.765509076767161
2022-12-02 14:45:00,2022-12-02 15:55:00,short,1798.3200000000002,1785.59,126.3,18945.0,135175.0,70.0,5M_GC,74.2462704933913,38.664015649474386,24.69359963674671
2022-12-07 05:20:00,2022-12-07 06:05:00,long,1771.74,1772.57,7.3,1095.0,136270.0,45.0,5M_DC,30.64450949383873,67.36790845661842,76.32228077577768
2022-12-07 10:20:00,2022-12-07 14:50:00,long,1771.6499999999999,1774.43,26.8,4020.0,140290.0,270.0,5M_DC,55.92127424520529,54.15335463172084,87.85083905719578
2022-12-08 22:25:00,2022-12-08 23:35:00,long,1788.25,1789.1,7.5,1125.0,141415.0,70.0,5M_DC,77.98007363697853,48.554172570321896,84.85470084877568
2022-12-16 20:00:00,2022-12-16 20:50:00,long,1788.48,1791.94,33.6,5040.0,146455.0,50.0,5M_DC,67.23593115614584,75.28422909800423,92.83167488673564
2022-12-19 13:30:00,2022-12-19 15:15:00,short,1795.8700000000001,1793.02,27.5,4125.0,150580.0,105.0,5M_GC,76.54933098896213,36.43867924485407,15.724787875652831
2022-12-19 18:50:00,2022-12-19 21:35:00,short,1788.21,1787.05,10.6,1590.0,152170.0,165.0,5M_GC,60.63154496374773,35.18052346665594,16.796671364350242
2022-12-19 23:45:00,2022-12-20 02:10:00,short,1787.2,1785.39,17.1,2565.0,154735.0,145.0,5M_GC,46.15436669588893,26.8480351742775,11.942761581508833
2022-12-21 20:55:00,2022-12-21 21:55:00,short,1816.9,1814.37,24.3,3645.0,158380.0,60.0,5M_GC,77.58679349647132,35.195996663593235,7.916955933420926
2022-12-22 10:05:00,2022-12-22 11:30:00,short,1816.72,1815.85,7.7,1155.0,159535.0,85.0,5M_GC,59.23753069482843,53.47985966492994,8.286396995809802
2022-12-23 05:45:00,2022-12-23 07:00:00,long,1793.2099999999998,1794.85,15.4,2310.0,161845.0,75.0,5M_DC,24.255569283578343,82.81754575426582,83.47504480992956
2022-12-23 19:10:00,2022-12-23 21:30:00,long,1801.1699999999998,1796.74,-45.3,-6795.0,155050.0,140.0,5M_DC,33.388486936021664,46.088154269591335,94.04001555785226
2023-01-03 14:30:00,2023-01-03 16:30:00,short,1834.0900000000001,1844.58,-105.9,-15885.0,139165.0,120.0,SL_or_BE,70.03435414836201,44.856396866606666,85.83697379001319
2023-01-04 18:00:00,2023-01-04 19:30:00,short,1856.8400000000001,1856.68,0.6,90.0,139255.0,90.0,5M_GC,78.87794588134098,43.07160497802628,17.730326419386284
2023-01-05 07:10:00,2023-01-05 09:05:00,short,1852.3600000000001,1852.05,2.1,315.0,139570.0,115.0,5M_GC,60.88249127217525,15.595754603388158,17.41791975403396
2023-01-10 19:45:00,2023-01-11 03:35:00,short,1874.99,1872.92,19.7,2955.0,142525.0,470.0,5M_GC,50.5948045638464,52.67523749861082,8.982346832674166
2023-01-13 15:50:00,2023-01-13 16:45:00,short,1898.64,1909.41,-108.7,-16305.0,126220.0,55.0,SL_or_BE,86.59409054990884,55.089955906855984,97.40575831672595
2023-01-16 20:10:00,2023-01-17 04:00:00,short,1913.95,1915.35,-15.0,-2250.0,123970.0,470.0,5M_GC,40.9161443409913,36.91884812472377,24.917833620466876
2023-01-18 04:15:00,2023-01-18 05:40:00,short,1909.8400000000001,1900.62,91.2,13680.0,137650.0,85.0,5M_GC,23.038299034224554,30.019979913702784,9.806162619381317
2023-01-20 17:30:00,2023-01-20 18:00:00,short,1928.67,1927.21,13.6,2040.0,139690.0,30.0,5M_GC,67.29851604132786,28.31647828656479,23.982367080921524
2023-01-23 15:10:00,2023-01-23 15:40:00,short,1926.3300000000002,1921.93,43.0,6450.0,146140.0,30.0,5M_GC,30.07084161194427,45.94587427414431,16.16002006501699
2023-01-24 12:45:00,2023-01-24 13:20:00,short,1937.3400000000001,1936.07,11.7,1755.0,147895.0,35.0,5M_GC,78.5612494220846,52.92088290349154,22.689075629615388
2023-01-24 13:55:00,2023-01-24 14:45:00,short,1937.1000000000001,1937.02,-0.2,-30.0,147865.0,50.0,5M_GC,78.5612494220846,53.013182673700896,24.424634273006095
2023-01-24 17:55:00,2023-01-24 18:55:00,short,1934.91,1932.5,23.1,3465.0,151330.0,60.0,5M_GC,73.2753062537933,43.921300057186194,23.50167254896417
2023-01-25 04:20:00,2023-01-25 05:05:00,short,1938.5500000000002,1932.16,62.9,9435.0,160765.0,45.0,5M_GC,69.29051606180514,49.92639645572398,1.883077100220951
2023-01-25 06:15:00,2023-01-25 07:00:00,short,1931.65,1928.36,31.9,4785.0,165550.0,45.0,5M_GC,69.29051606180514,15.19988378232432,20.073059395860188
2023-01-26 12:25:00,2023-01-26 16:50:00,short,1936.5300000000002,1931.86,45.7,6855.0,172405.0,265.0,5M_GC,48.31546473096477,25.72334180150216,13.159543831866907
2023-01-27 01:45:00,2023-01-27 03:30:00,short,1930.8000000000002,1931.61,-9.1,-1365.0,171040.0,105.0,5M_GC,32.80994438981718,71.50402928492997,16.270698343780563
2023-01-30 21:45:00,2023-01-31 05:25:00,short,1923.47,1923.79,-4.2,-630.0,170410.0,460.0,5M_GC,28.29759272388773,47.11194152976438,14.74358974302138
2023-02-02 12:00:00,2023-02-02 13:00:00,short,1956.67,1952.78,37.9,5685.0,176095.0,60.0,5M_GC,79.75325791767624,39.787692694914476,23.72815173892968
2023-02-02 13:45:00,2023-02-02 16:00:00,short,1954.8200000000002,1945.16,95.6,14340.0,190435.0,135.0,5M_GC,50.92016219535693,10.897363391465511,16.732480819063497
2023-02-07 15:35:00,2023-02-07 16:10:00,long,1867.26,1869.98,26.2,3930.0,194365.0,35.0,5M_DC,60.9076371064866,38.239943750466495,92.23720766646501
2023-02-07 19:10:00,2023-02-07 20:45:00,long,1875.12,1865.12,-101.0,-15150.0,179215.0,95.0,SL_or_BE,56.49863336163892,54.655898969421436,8.022150070177458
2023-02-10 08:50:00,2023-02-10 09:45:00,long,1858.4499999999998,1865.1,65.5,9825.0,189040.0,55.0,5M_DC,20.164320309582198,68.14596160547568,88.14612465956127
