entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-01-10 19:45:00,2023-01-11 03:35:00,short,1874.68,1872.81,0.157,23.55,100023.55,470.0,5M_GC,50.59480456384558,52.81456177586612,8.954451345615759
2023-01-13 15:50:00,2023-01-13 16:45:00,short,1898.3300000000002,1909.3,-1.127,-169.05,99854.5,55.0,SL_or_BE,86.56589103443316,55.02949443732439,97.25579110459223
2023-01-16 20:10:00,2023-01-17 04:00:00,short,1913.65,1915.24,-0.189,-28.35,99826.15,470.0,5M_GC,40.91614434099174,37.04750437710503,24.91783362046694
2023-01-18 04:15:00,2023-01-18 05:40:00,short,1909.53,1900.51,0.872,130.8,99956.95,85.0,5M_GC,23.08195762405144,30.09150128768719,9.806162619381142
2023-01-20 17:30:00,2023-01-20 18:00:00,short,1928.3600000000001,1927.11,0.095,14.25,99971.2,30.0,5M_GC,67.33067038216375,28.316478286566127,24.042644356390074
2023-01-23 15:10:00,2023-01-23 15:40:00,short,1926.02,1921.82,0.39,58.5,100029.7,30.0,5M_GC,30.070841611943646,45.90200439417372,16.088255650270952
2023-01-24 12:45:00,2023-01-24 13:20:00,short,1937.03,1935.96,0.077,11.55,100041.25,35.0,5M_GC,78.55407122300574,53.10920682062815,22.31559290320506
2023-01-24 13:55:00,2023-01-24 14:45:00,short,1936.8300000000002,1936.91,-0.038,-5.7,100035.55,50.0,5M_GC,78.55407122300574,53.201506590836836,24.4246342730108
2023-01-24 17:55:00,2023-01-24 18:55:00,short,1934.6200000000001,1932.39,0.193,28.95,100064.5,60.0,5M_GC,73.26668816487188,43.94764010723275,23.161718935294257
2023-01-25 04:20:00,2023-01-25 05:05:00,short,1938.24,1932.05,0.589,88.35,100152.85,45.0,5M_GC,69.28695377977449,49.89368204194408,1.8830771002227156
2023-01-25 06:15:00,2023-01-25 07:00:00,short,1931.3600000000001,1928.25,0.281,42.15,100195.0,45.0,5M_GC,69.28695377977449,15.199883782325415,20.07305939586204
2023-01-26 12:25:00,2023-01-26 16:55:00,short,1936.22,1932.67,0.325,48.75,100243.75,270.0,5M_GC,48.35908047624874,25.632122360046253,20.61266874334896
