ym,count,pnl,win_rate,gross_win,gross_loss,max_dd_pct_month,long_count,long_pnl,short_count,short_pnl
2023-01,34,3906.0,73.52941176470588,9552.0,-5646.0,4.505705658601624,2.0,97.5,32.0,3808.5
2023-02,28,789.0,64.28571428571429,9535.5,-8746.5,3.9597665701949993,18.0,-1131.0,10.0,1920.0
2023-03,56,14494.5,76.78571428571429,20311.5,-5817.0,1.602277008078356,17.0,5698.5,39.0,8796.0
2023-04,30,3709.5,73.33333333333333,6240.0,-2530.5,0.9864050736565924,16.0,2184.0,14.0,1525.5
2023-05,39,2743.5,61.53846153846154,9252.0,-6508.5,1.318928740717333,19.0,-219.0,20.0,2962.5
2023-06,41,4225.5,65.85365853658537,7477.5,-3252.0,1.4385770824893265,26.0,1243.5,15.0,2982.0
2023-07,41,-1102.5,56.09756097560976,9367.5,-10470.0,3.9000964247225425,15.0,414.0,26.0,-1516.5
2023-08,39,3124.5,71.7948717948718,6075.0,-2950.5,1.1326439090205218,23.0,1506.0,16.0,1618.5
2023-09,37,-3834.0,54.054054054054056,5533.5,-9367.5,4.275630402986582,24.0,-3870.0,13.0,36.0
2023-10,30,4225.5,63.33333333333333,8536.5,-4311.0,1.8589523333541575,13.0,-81.0,17.0,4306.5
2023-11,34,7656.0,67.64705882352942,12685.5,-5029.5,0.851577934620554,15.0,3529.5,19.0,4126.5
2023-12,32,13485.0,81.25,15960.0,-2475.0,0.6570325074654884,20.0,5901.0,12.0,7584.0
2024-01,19,-121.5,78.94736842105263,4746.0,-4867.5,3.0176002289460673,19.0,-121.5,0.0,0.0
2024-02,37,-597.0,56.75675675675676,3426.0,-4023.0,1.1433694677642838,15.0,-903.0,22.0,306.0
2024-03,29,-3132.0,55.172413793103445,3930.0,-7062.0,3.435835374784302,11.0,-1576.5,18.0,-1555.5
2024-04,37,4072.5,70.27027027027027,18838.5,-14766.0,4.966568653774369,14.0,4156.5,23.0,-84.0
2024-05,32,7506.0,71.875,11361.0,-3855.0,1.2434822656433677,15.0,3892.5,17.0,3613.5
2024-06,4,480.0,100.0,480.0,0.0,0.0,3.0,300.0,1.0,180.0
2024-07,31,420.0,58.06451612903226,9843.0,-9423.0,2.010777198236907,6.0,1183.5,25.0,-763.5
2024-08,33,16744.5,72.72727272727273,23146.5,-6402.0,3.6394504487117634,1.0,178.5,32.0,16566.0
2024-09,34,10807.5,70.58823529411765,14125.5,-3318.0,0.6599802669216674,6.0,1975.5,28.0,8832.0
2024-10,32,6826.5,65.625,13036.5,-6210.0,2.0469498209327592,10.0,3022.5,22.0,3804.0
2024-11,41,9079.5,78.04878048780488,22507.5,-13428.0,2.224855121677961,30.0,9502.5,11.0,-423.0
2024-12,27,2043.0,66.66666666666666,8026.5,-5983.5,1.6378884571684384,10.0,2271.0,17.0,-228.0
2025-01,30,3598.5,73.33333333333333,11634.0,-8035.5,1.6911992764517725,6.0,1431.0,24.0,2167.5
2025-02,29,388.5,55.172413793103445,11373.0,-10984.5,2.586182544091752,6.0,831.0,23.0,-442.5
2025-03,37,-1423.5,56.75675675675676,12666.0,-14089.5,1.7320765041378552,1.0,121.5,36.0,-1545.0
2025-04,37,18234.0,70.27027027027027,42238.5,-24004.5,3.9462984410597834,11.0,7557.0,26.0,10677.0
2025-05,29,9357.0,68.96551724137932,21309.0,-11952.0,2.0539380103798384,12.0,7293.0,17.0,2064.0
2025-06,32,6025.5,71.875,14880.0,-8854.5,1.772237595254457,20.0,5455.5,12.0,570.0
2025-07,51,19858.5,70.58823529411765,29812.5,-9954.0,1.7104976159850294,15.0,3694.5,36.0,16164.0
2025-08,29,7627.5,79.3103448275862,11253.0,-3625.5,0.683909076326442,9.0,3901.5,20.0,3726.0
2025-09,29,-6199.5,65.51724137931035,16537.5,-22737.0,4.356189448497502,0.0,0.0,29.0,-6199.5
2025-10,38,16543.5,57.89473684210527,65200.5,-48657.0,12.166942283591275,9.0,16804.5,29.0,-261.0
2025-11,40,-6991.5,65.0,40083.0,-47074.5,8.126242805271417,8.0,454.5,32.0,-7446.0
2025-12,35,33780.0,74.28571428571429,57279.0,-23499.0,4.341054638012994,10.0,19900.5,25.0,13879.5
2026-01,31,61980.0,77.41935483870968,101703.0,-39723.0,7.978948980433271,1.0,1363.5,30.0,60616.5
2026-02,37,15913.5,75.67567567567568,66678.0,-50764.5,6.204462375675317,6.0,22992.0,31.0,-7078.5
