ym,count,pnl,win_rate,gross_win,gross_loss,max_dd_pct_month,long_count,long_pnl,short_count,short_pnl
2023-01,34,1953.0,73.52941176470588,4776.0,-2823.0,2.2752024712381935,2.0,48.75,32.0,1904.25
2023-02,28,394.5,64.28571428571429,4767.75,-4373.25,2.0317939479514084,18.0,-565.5,10.0,960.0
2023-03,56,7247.25,76.78571428571429,10155.75,-2908.5,0.8721605796176892,17.0,2849.25,39.0,4398.0
2023-04,30,1854.75,73.33333333333333,3120.0,-1265.25,0.5373798804608585,16.0,1092.0,14.0,762.75
2023-05,39,1371.75,61.53846153846154,4626.0,-3254.25,0.7368258451760967,19.0,-109.5,20.0,1481.25
2023-06,41,2112.75,65.85365853658537,3738.75,-1626.0,0.8086058610240152,26.0,621.75,15.0,1491.0
2023-07,41,-551.25,56.09756097560976,4683.75,-5235.0,2.2206672336394266,15.0,207.0,26.0,-758.25
2023-08,39,1562.25,71.7948717948718,3037.5,-1475.25,0.6411452524875568,23.0,753.0,16.0,809.25
2023-09,37,-1917.0,54.054054054054056,2766.75,-4683.75,2.445814404841129,24.0,-1935.0,13.0,18.0
2023-10,30,2112.75,63.33333333333333,4268.25,-2155.5,1.0438225698951136,13.0,-40.5,17.0,2153.25
2023-11,34,3828.0,67.64705882352942,6342.75,-2514.75,0.49098277008286795,15.0,1764.75,19.0,2063.25
2023-12,32,6742.5,81.25,7980.0,-1237.5,0.3875674910849224,20.0,2950.5,12.0,3792.0
2024-01,19,-60.75,78.94736842105263,2373.0,-2433.75,1.828388795182622,19.0,-60.75,0.0,0.0
2024-02,37,-298.5,56.75675675675676,1713.0,-2011.5,0.6920913710592531,15.0,-451.5,22.0,153.0
2024-03,29,-1566.0,55.172413793103445,1965.0,-3531.0,2.079307016106585,11.0,-788.25,18.0,-777.75
2024-04,37,2036.25,70.27027027027027,9419.25,-7383.0,3.0011753020367946,14.0,2078.25,23.0,-42.0
2024-05,32,3753.0,71.875,5680.5,-1927.5,0.7563188174707491,15.0,1946.25,17.0,1806.75
2024-06,4,240.0,100.0,240.0,0.0,0.0,3.0,150.0,1.0,90.0
2024-07,31,210.0,58.06451612903226,4921.5,-4711.5,1.2436021922804714,6.0,591.75,25.0,-381.75
2024-08,33,8372.25,72.72727272727273,11573.25,-3201.0,2.2702476975862274,1.0,89.25,32.0,8283.0
2024-09,34,5403.75,70.58823529411765,7062.75,-1659.0,0.42504035925521827,6.0,987.75,28.0,4416.0
2024-10,32,3413.25,65.625,6518.25,-3105.0,1.3619113276752965,10.0,1511.25,22.0,1902.0
2024-11,41,4539.75,78.04878048780488,11253.75,-6714.0,1.4874668982271702,30.0,4751.25,11.0,-211.5
2024-12,27,1021.5,66.66666666666666,4013.25,-2991.75,1.1017696725295696,10.0,1135.5,17.0,-114.0
2025-01,30,1799.25,73.33333333333333,5817.0,-4017.75,1.1477224706481588,6.0,715.5,24.0,1083.75
2025-02,29,194.25,55.172413793103445,5686.5,-5492.25,1.7583339201915504,6.0,415.5,23.0,-221.25
2025-03,37,-711.75,56.75675675675676,6333.0,-7044.75,1.1801407501469798,1.0,60.75,36.0,-772.5
2025-04,37,9117.0,70.27027027027027,21119.25,-12002.25,2.7252770373441546,11.0,3778.5,26.0,5338.5
2025-05,29,4678.5,68.96551724137932,10654.5,-5976.0,1.4343610155456983,12.0,3646.5,17.0,1032.0
2025-06,32,3012.75,71.875,7440.0,-4427.25,1.2588409277560593,20.0,2727.75,12.0,285.0
2025-07,51,9929.25,70.58823529411765,14906.25,-4977.0,1.2151025473565618,15.0,1847.25,36.0,8082.0
2025-08,29,3813.75,79.3103448275862,5626.5,-1812.75,0.49650977195350016,9.0,1950.75,20.0,1863.0
2025-09,29,-3099.75,65.51724137931035,8268.75,-11368.5,3.2009727159539474,0.0,0.0,29.0,-3099.75
2025-10,38,8271.75,57.89473684210527,32600.25,-24328.5,8.875893296690812,9.0,8402.25,29.0,-130.5
2025-11,40,-3495.75,65.0,20041.5,-23537.25,6.021799988087438,8.0,227.25,32.0,-3723.0
2025-12,35,16890.0,74.28571428571429,28639.5,-11749.5,3.258865747694363,10.0,9950.25,25.0,6939.75
2026-01,31,30990.0,77.41935483870968,50851.5,-19861.5,6.163719753569511,1.0,681.75,30.0,30308.25
2026-02,37,7956.75,75.67567567567568,33339.0,-25382.25,4.915114934347722,6.0,11496.0,31.0,-3539.25
